Date,Title,Topic_CID,Speaker,Text,Seq,Topic_Seq,Speeches_CID,Sitting_Seq
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mr Yip Hon Weng,asked the Minister for Communications and Information in view of the report released by the Audit and Risk Committee of SPH Media Holdings Pte Ltd (a) whether the Ministry still plans to continue its S$900 million funding support for SPH Media Trust over the next five years; and (b) how will the Ministry ensure that such monies are spent prudently with good accountability and oversight.,1,7,014-002-095-108-002-007,20
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mr Ang Wei Neng,asked the Minister for Communications and Information (a) whether there is a need to set up a Committee of Inquiry to reveal the cause of Singapore Press Holdings (SPH)’s overstatement of its daily circulation numbers; (b) whether the Ministry will consider revealing to the public on the companies that are involved in assisting SPH to overstate the circulation numbers; and (c) what are the lessons learned to prevent such occurrences.,1,8,014-002-095-108-002-008,21
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mr Leong Mun Wai,"asked the Minister for Communications and Information (a) whether the Government's funding agreement with SPH Media Trust has been concluded and if any funds have been disbursed; (b) if so, whether these funds will be re-assessed in light of the report of the Audit and Risk Committee of SPH Media released on 16 June 2023; and (c) whether the key performance indicators for the funding agreement will include evaluations of SPH Media Trust's risk culture and improvements to its risk management practices and internal controls and processes.",1,9,014-002-095-108-002-009,22
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,The Minister for Communications and Information (Mrs Josephine Teo),"  Mdm Deputy Speaker, may I seek your permission to take Question Nos 2 to 9 in today’s Order Paper?",1,10,014-002-095-108-002-010,23
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mdm Deputy Speaker,  Please proceed.,1,11,014-002-095-108-002-011,24
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,  I will also address the Question filed by Ms Hany Soh,1,12,014-002-095-108-002-012,25
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"Madam, in the February 2023 Sitting of Parliament, Members had asked a range of questions on this matter. In response, I made three key points.",2,13,014-002-095-108-002-013,26
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"The first is that the events took place before SMT was formed, when the media business was under SPH Limited (SPHL), a privately listed company.",3,14,014-002-095-108-002-014,27
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"The second point is that whatever happened had no bearing on public funds, because the Government did not have a funding relationship with SMT before the end of 2022. For avoidance of doubt, the first tranche of funding was disbursed in March 2023. In other words, the events preceded the period of funding. No public funds had been involved. Correspondingly, the question of loss of public funds does not arise.",4,15,014-002-095-108-002-015,28
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"Third, I explained the Government’s reasons for funding SMT’s transformation, which had little to do with circulation. Nevertheless, the Government made it clear that it expected SMT to properly investigate the matter and to give the public a proper account.",5,16,014-002-095-108-002-016,29
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,SMT’s Audit & Risk Committee (ARC) has since concluded its investigations and its findings have been extensively reported.,6,17,014-002-095-108-002-017,30
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"My update to Members will therefore focus on three areas, namely, the ARC’s findings; what SMT will do to address the underlying issues; and what the Government will put in place to ensure public funding to SMT remains prudent and accountable.",7,18,014-002-095-108-002-018,31
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"Let me first deal with the ARC’s observations. As Members will have read in media reports, there were three noteworthy findings.",8,19,014-002-095-108-002-019,32
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"First, the overstatement of circulation numbers amounted to around 82,600 average daily copies at August 2021. This is around 10% of overall circulation of their main titles. The ARC did not find any evidence of the involvement of the journalism and editorial departments.",9,20,014-002-095-108-002-020,33
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"Second, the ARC found that the accounting impact was not deemed to be material to the financial statements of SPH Media Group for the financial year ending August 2022 taken as a whole. For the financial year ending August 2021, there was approximately S$110,000 in understatement of profits.",10,21,014-002-095-108-002-021,34
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"Third, there were possible offences committed, based on several findings. Circulation numbers had been reported in a manner inconsistent with established standards, there was improper accounting of revenue and there was a barter deal which was a possibly questionable arrangement entered into for the sole purpose of inflating circulation numbers.",11,22,014-002-095-108-002-022,35
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"Consequently, the ARC has recommended that a Police report be filed and the Board has done so.",12,23,014-002-095-108-002-023,36
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"To Mr Murali and Mr Ang’s questions on the specific offences being considered, I am unable to give further details as this is now an ongoing Police investigation.",13,24,014-002-095-108-002-024,37
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"Ms Tin Pei Ling asked whether the overstated circulation figures and consequent financial impact have been corrected. After SMT was formed in December 2021, it began internally reviewing the data it took over and rectified the inconsistencies detected. Its accounts since its first financial year ending August 2022 no longer have these inconsistencies. As for the period before SMT was formed, these findings have been made public and further actions to deal with the erroneous figures are matters to be decided by the relevant parties involved then.",14,25,014-002-095-108-002-025,38
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,Ms Hany Soh filed a related question for a future Sitting. She asked if NLB had been a subscriber of SPH Media’s publications. The answer is yes. NLB’s subscription provides its members with access to various titles published by SPH Media. Neither the subscription rates nor members’ access are related to circulation numbers. There is therefore no impact of any kind.,15,26,014-002-095-108-002-026,39
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,Members Ms Jessica Tan and Ms Tin Pei Ling asked how SMT will take up the ARC’s recommendations. SMT has shared with MCI that its follow-up is in three main areas.,16,27,014-002-095-108-002-027,40
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"One, they will benchmark their reporting to international standards. They are commissioning the World Association of Newspapers and News Publishers (WAN-IFRA) to review and advise on their methods for measuring the reach of various titles. These are the metrics that the public, businesses and the Government will be concerned with, to know how many people come into contact with a title’s content.",17,28,014-002-095-108-002-028,41
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"Two, SMT will improve internal controls, including  tightening deal structure and pricing approval procedures, such as requirements for approvals at the appropriate levels; strengthening guidelines and checks for revenue and cost recognition; improving separation of duties among staff, to ensure data accuracy and accountability; and commissioning external parties to review its governance, control and compliance measures, with the aim of embedding the enhancements into a new enterprise resource planning system.",18,29,014-002-095-108-002-029,42
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"Three, SMT will enhance its risk management practices throughout the organisation and review its risk culture. SMT has assured MCI that they will implement these measures immediately and will provide us with regular status updates on a half-yearly basis.",19,30,014-002-095-108-002-030,43
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,This leads me to the third set of questions that Members have asked  whether this affects the Government’s funding to SMT.,20,31,014-002-095-108-002-031,44
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"The Reuters Institute Digital News Report is published annually, and its 2023 edition released last month is a timely reminder why funding support for mainstream media remains necessary. Even with dozens of news sources easily available, audiences in Singapore consistently turn to our mainstream media when they need something they can trust.",21,32,014-002-095-108-002-032,45
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"Specifically, trust levels in all the SMT’s major titles remained much higher than the global average – 73% of respondents expressed trust in The Straits Times, up three percentage points from last year. This is against the backdrop of the erosion of trust in news globally, from an already modest 42% last year to 40% this year.",22,33,014-002-095-108-002-033,46
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,Trusted news media made possible by quality journalism is a public good we cannot afford to compromise on. It is more important than ever when the environment is full of disinformation and sensationalised news.,23,34,014-002-095-108-002-034,47
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"However, SMT can only deliver quality journalism if they can continue to strengthen their capabilities and reach audiences in the digital age. Media consumption has moved online rapidly, disrupting the entire industry. In the same report by Reuters Institute, the share of respondents who consume print news has dropped to 22%, from 53% just six years ago.",24,35,014-002-095-108-002-035,48
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"SMT must move decisively into the online space. But the new competencies take time to build and the economics of news media in the digital era do not make it easy for newsrooms to survive, let alone fund new investments.",25,36,014-002-095-108-002-036,49
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"The costs of running a professional newsroom remain high, and data and technology infrastructure require substantial upfront costs. Yet, revenue streams are a fraction of what they were in the heyday of print media.",26,37,014-002-095-108-002-037,50
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"Advertising revenue has been squeezed, with a large share going to platforms run by Big Tech. Growing subscription revenue in a world of free news is also challenging – only 15% of Singapore readers surveyed by Reuters Institute are willing to pay for it.",27,38,014-002-095-108-002-038,51
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"The challenge is even more pronounced for vernacular publications, which have smaller readerships. Yet, it is critical to preserve them. They are an essential part of our multicultural society and unique identity and give voice to our ethnic communities.",28,39,014-002-095-108-002-039,52
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,The Government's funding is ultimately to fulfil a public good – that of trusted news media enabled through quality journalism.,29,40,014-002-095-108-002-040,53
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"MCI is committed to working with SMT to overcome the challenges of disruption and succeed in its transformation. Therefore, to Mr Yip and Mr Leong's questions, the Government will continue funding SMT at the amounts we committed to.",30,41,014-002-095-108-002-041,54
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"This does not, however, mean that we have no additional expectations of SMT in light of this incident. We acknowledge their seriousness in investigating the concerns and for making the findings public. As it is now a matter for the Police to consider, we should turn our focus to making sure SMT will discharge its public duties responsibly on an ongoing basis.",31,42,014-002-095-108-002-042,55
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"At the leadership level, the SMT management and board have demonstrated commitment to changing legacy practices. We expect SMT to persist in addressing internal weaknesses and systematically follow up on the required changes.",32,43,014-002-095-108-002-043,56
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"Members will recall that the circulation data issue emerged because SMT was conducting its own review and due diligence following the transfer of the media business from SPH Limited in December 2021. This point has often been overlooked. This whole set of findings arose out of SMT's own internal review, which no one in particular, asked them to do. They themselves felt it was important to start on a clean slate.",33,44,014-002-095-108-002-044,57
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"SMT has assured us that it intends to follow up on the ARC's recommendations to ensure organisation-wide accountability and to bring the organisation forward. We welcome the plans SMT has set in motion, including instituting internationally accepted benchmarks and extensively reviewing its governance and control measures. This is an ongoing process, and MCI will work closely with SMT to ensure these measures are implemented.",34,45,014-002-095-108-002-045,58
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"To Mr Murali's question on reporting standards, the key point is to ensure reports are consistent with international best practice. It is in SMT’s own interest to uphold reporting standards, with or without regulation.",35,46,014-002-095-108-002-046,59
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"Ms Tin and Mr Zhulkarnain asked if we will impose additional safeguards, and Mr Leong asked if we would put in key performance indicators (KPIs) evaluating SMT's improvements in risk management and controls. To assure Members, the funding agreement concluded in March this year already contains measures to ensure accountability, for example  (a) SMT is required to submit specific information on KPIs, including their methodologies and sources. These must be agreed upon and SMT is not allowed to change them without MCI's consent; (b) SMT's KPI performance and financial statements must also be audited by independent external auditors.",36,47,014-002-095-108-002-047,60
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"However, the evaluation of and improvements to internal processes are clearly the responsibility of SMT's executive team. The Government will intervene if there is a case of misconduct or mismanagement of public funding. In this regard, we have built in safeguards that allow the Government to conduct our own ad hoc audits. If serious wrongdoings are found, we have the right to terminate funding.",37,48,014-002-095-108-002-048,61
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"MCI will also be reviewing the terms of the funding agreement, including the KPIs and funding quantum, at the mid-term juncture. SMT's ability to address these management issues will be taken into consideration.",38,49,014-002-095-108-002-049,62
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"Madam, I have updated Members on what I can. The outstanding matter of the Police investigation should be allowed to take its course. At its conclusion, the follow-up actions will also be made public.",39,50,014-002-095-108-002-050,63
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mdm Deputy Speaker,  Mr Ang Wei Neng.,1,51,014-002-095-108-002-051,64
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mr Ang Wei Neng (West Coast),"  Thank you, Mdm Deputy Speaker. I thank the Minister for the very comprehensive reply. It must be painful for the journalists to report the wrongdoing of their colleagues, or sometimes it could be their supervisors in the newspapers. I have two supplementary questions.",1,52,014-002-095-108-002-052,65
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mr Ang Wei Neng (West Coast),"The first question is, in the funding formula for SMT, will the circulation numbers be one of the KPIs or is there a KPI for them to increase the circulation because that will add pressure on them? Two, why is it that the names of the companies involved in helping to inflate the circulation numbers are not revealed? Is it because they are subject to Police investigation and the Minister cannot reveal that? But in the public interest, we hope that the Ministry can get the papers to release them.",2,53,014-002-095-108-002-053,66
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"  Mdm Deputy Speaker, I thank the Member for his two questions. Maybe I will take the second question first. Mr Ang had asked why were the names of the companies and the staff who were involved in the potential wrongdoing not made public. As Members will know, the matter has been referred to the Police for investigations. SMT has provided all the findings that the ARC submitted to the Board. And this full set of findings would have already been made available to the Police. They include the names of the companies and the people involved.",1,54,014-002-095-108-002-054,67
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"So, as far as the ARC's findings were concerned, the Police have full view of it. Nothing that was provided to the Police was redacted.",2,55,014-002-095-108-002-055,68
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"Because it is an ongoing investigation, as to who will eventually have to be held liable under the law, these things will need to take their natural course. It is for the relevant authorities, after they have completed their investigations, to determine what information to publicly disclose and when to do so, so as to not affect the outcome of their investigations. That will be something that has to be left to a later date.",3,56,014-002-095-108-002-056,69
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"Mr Ang asked specifically whether circulation is part of the KPIs. As I explained to Members in February 2023, during Parliament Sitting and in response to Members' questions, and as I have also alluded to earlier in my response, circulation is a metric that is no longer as relevant. A title that is being circulated in print today can be read by multiple people. And as media moves more and more online, it is not so much the circulation that matters. It is the reach. The reach measures how often people come into contact with the contents of a particular title. So, it is reach that is more important.",4,57,014-002-095-108-002-057,70
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"The KPIs, therefore, that we have included in the funding arrangement include the total reach and engagement of SMT's full range of products, with a focus on their digital platforms, because keep in mind, Mr Ang, that the whole purpose for funding SMT is to ensure that the digital transformation is successful. Therefore, the KPIs must be reached, and, in particular, digital reach.",5,58,014-002-095-108-002-058,71
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"We will, in fact, also ask for specific reach indicators for vernacular groups and youths, because the funding is directed mainly in three areas  the technology upgrade; the talent development, building up the newsrooms; and, very importantly, in terms of how vernacular media continues to be safeguarded and, therefore, the KPIs follow the thrusts of our funding objectives.",6,59,014-002-095-108-002-059,72
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"SMT is required to submit regular reports on their KPI performance, which must also be independently audited, as I mentioned earlier. And if the KPI targets are not met, the amount of funding will be impacted.",7,60,014-002-095-108-002-060,73
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mdm Deputy Speaker,  Mr Yip Hon Weng.,1,61,014-002-095-108-002-061,74
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mr Yip Hon Weng (Yio Chu Kang),"  Thank you, Madam. I thank the Minister for her reply. I just have a very short supplementary question. I am heartened to hear that SMT is committed to improve its accountability and to improve its risk measures. I just want to ask the Minister whether the Ministry is prepared to consider ring-fencing an amount out the $900 million funding support for SMT, to strengthen its internal accountability and to prevent incidents from happening in the future.",1,62,014-002-095-108-002-062,75
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"  Mdm Deputy Speaker, as I explained in my response to the Member Mr Ang earlier, the thrust of the funding is directed towards talent development, technology upgrade and sustaining vernacular media. We expect that some of the funding will be needed for general purposes.",1,63,014-002-095-108-002-063,76
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mrs Josephine Teo,"These measures that SMT needs to take obviously requires some resource allocation on their part, both in terms of the manpower as well as the management bandwidth. We expect them to manage within the block of funding that is provided to them. As far as possible, we size the funding according to the needs that are most pertinent to successful transformation.",2,64,014-002-095-108-002-064,77
